iter	Passed	Remaining
1019	134310	129043
1020	134433	128902
1021	134566	128773
1022	134686	128630
1023	134801	128482
1024	134918	128336
1025	135050	128205
1026	135169	128062
1027	135310	127939
1028	135430	127797
1029	135558	127661
1030	135688	127528
1031	135827	127404
1032	135948	127262
1033	136073	127124
1034	136213	127000
1035	136338	126863
1036	136466	126728
1037	136576	126576
1038	136699	126436
1039	136826	126301
1040	136944	126157
1041	137072	126022
1042	137210	125897
1043	137353	125776
1044	137481	125641
1045	137605	125502
1046	137730	125364
1047	137851	125223
1048	137974	125084
1049	138082	124931
1050	138204	124791
1051	138329	124654
1052	138459	124521
1053	138604	124402
1054	138726	124261
1055	138841	124116
1056	138975	123986
1057	139119	123866
1058	139259	123742
1059	139382	123603
1060	139510	123468
1061	139633	123329
